message_id,date,sender_id,first_name,last_name,username,message,reply_to
72974,2025-04-24 11:58:26,-1001315043344,,,,"❗️Все, що суперечить нашим цінностям чи нашій Конституції,  не може бути в жодних домовленостях, - Зеленський про «територіальні компроміси»

💬 «США запропонували своє бачення, у Лондоні була зустріч. Там була відповідна стратегія, яку запропонувала американська сторона. Наша, європейська команди та представники США поговорили і на папері з'явилися певні пункти. Після пропозиції США з'явилися інші папери і сьогодні документ знаходиться на столі у президента Трампа», - сказав гарант.

Говорячи про вчорашні переговори в Лондоні, президент додав, що росія, ймовірно, розраховувала на великий скандал, але зустріч закінчилася не розбіжностями, а бажанням працювати далі.",
72973,2025-04-24 11:57:39,-1001315043344,,,,"ССО заявили, що знищили  кілька відділень солдатів КНДР у ближньому бою на Курщині

Воїни 6-го полку «Рейнджер» Сил спеціальних операцій ЗСУ провели спеціальні дії проти регулярних військ Північної Кореї у Курській області росії. 

Під час швидкого контакту оператори ССО знищили 25 північнокорейців.

Ці події відбулися минулого місяця, проте через безпеку операцій лише зараз бійці змогли показати відеопідтвердження.

Вісім рейнджерів на броньованому Humvee висунулися в тил противника, за підтримки розвідувальних дронів вийшли на дистанцію прямого ураження та зайняли позиції в окопах.

Оператори ССО розпочали ближній бій проти ворожої групи чисельністю 25 осіб.

Воїни ССО довели перевагу якості над кількістю та не лишили цілому взводу північнокорейців шансів.",
72972,2025-04-24 10:10:02,-1001315043344,,,,"ЄС не схвалить жодних кроків США щодо визнання Криму російським або тиску на Київ, щоб він погодився на це, — FT

Для європейців визнання анексії Криму — першого з 1945 року захоплення території в Європі силою — є неприйнятним. 

Це зруйнує заснований на правилах порядок, який десятиліттями забезпечував мир на континенті.",
72971,2025-04-24 09:55:37,-1001315043344,,,,"❗️Важко собі уявити, що було б, якби всі ті балістичні ракети, які сьогодні запустили по Києву досягли б цілей, — начальник управління комунікацій Командування Повітряних сил ЗСУ Юрій Ігнат.

▪️Те, що сьогодні вдалося збити ППО — це доволі такий непоганий результат;
▪️Звичайно, що є жахливі наслідки російської атаки...Бити балістикою по містах-мільйонниках — це вже не те що злочин, тероризм;
▪️Пілоти F-16, Mirage, вони непоганий дали сьогодні результати. Кілька десятків повітряних цілей (крилатих ракет і ""Шахедів"") збито саме нашими українськими льотчиками.",
72970,2025-04-24 09:53:26,-1001315043344,,,,"В Києві 12 будинків зруйновано або частково пошкоджено, 77 людей звернулися до медиків, 31 з них ушпиталено, 8 загиблих, станом на цей момент рятувальники шукають тих, хто може бути під завалами, - Кличко",
72969,2025-04-24 09:51:05,-1001315043344,,,,"🛫 475 OШБ «CODE 9.2» — окремий штурмовий батальйон з посиленою компонентою БпЛА у складі 92-ої ОШБР.

Ми поєднали реальний бойовий досвід і підходи, привнесені з керування великими командами, тому наші операції — це мінімум наших втрат і максимум шкоди ворогу. 

Тільки за 2024 ми як рота знищили понад 7000 цілей і завдали ворогу шкоду на 394 млн доларів.

Більше про нас: https://code92.army

Приєднуйся, щоб нищити ворога у команді, де бережуть кожного бійця, знають ціну твоїм навичкам і створюють умови для ефективної роботи.

Що пропонуємо:
✅ 30+ вакансій — роби те, що вмієш найкраще;
✅ Грошове забезпечення до 200 000 грн/місяць;
✅ Топове спорядження кожному бійцю;
✅ Командування з реальним бойовим досвідом;
✅ Навчання до 3 місяців;
✅ Немає «армійщини»;
✅ Сучасна техніка та озброєння.

⚠️ Беремо тих, хто повертається з СЗЧ.

Обирайте вакансію, заповнюйте анкету і долучайтесь до CODE 9.2: http://surl.li/mxksrq 

Телефон: +380800209292

Адже хай яке дієве сучасне озброєння, перемозі потрібна людина.",
72966,2025-04-24 09:14:05,-1001315043344,,,,"❗️ «Найбільшої шкоди вам завдасть брехня».

🇧🇦🇺🇦 Сьогодні згадав лист боснійської журналістки Аїди Черкез, яка пережила блокаду Сараєвого і написала про це киянам в перші дні атаки  рф на столицю.

📝 «Шановні друзі, гуманітарні організації тут у Сараєво збирають для вас допомогу і я сиджу перед шафою у своїй квартирі, намагаючись згадати, що вам найбільше потрібно. 

Це не мої теплі шкарпетки, не куртка чи теплі чоботи – а моя 30-річна футболка з написом, яка не давала мені зневіритися протягом 1425 днів, коли боснійські серби добровільно стріляли і тримали моє місто в облозі, без води, без їжі, без електроенергії, без опалення та без зв’язку із зовнішнім світом. 

Я носила цю футболку і читала її гасло, у той час, коли більше двох мільйонів снарядів падало на наші голови, і я ухилялася від незліченних куль. На футболці написано «Сараєво буде стояти, решта мине».

Друзі мої, на вас чекають погані часи, але ви отримуєте зброю, щоб ви мали змогу захистити себе. 

Ми, боснійці, відбивалися, але світ наклав ембарго на поставки зброї. Вони не розуміли, за що билося Сараєво. 

Слава Богу, зараз світ розуміє за що б’ється Київ. 

Ви будете брудні, вам буде холодно, ви будете хотіти їсти та пити, ви втратите свої домівки, друзів та членів сім’ї. Але найбільшої шкоди вам завдасть брехня. 

Брехня – що ви якось винні у тому, що з вами відбувається. Брехня – що ви насправді воюєте проти себе. 

Ця брехня проб’є незліченну кількість дірок у ваших серцях, але не зупинить їх биття і не заморозить їх. Я бачила, вони зруйнували вашу телевежу, так, вони хочуть тримати вас у темряві, як вони робили це з нами. 

Вони хочуть вимкнути світло, щоб ми не бачили, що вони з вами роблять. 

Записуйте, знімайте і фотографуйте все – колись це визначить вашу історію. 

Пояснить українцям, які ще не народилися, що сталося і буде використано як доказ у суді проти тих, хто намагається вас вбити. 

На вас чекають скрутні часи, в які ви будете втрачати віру, але я пишу вам з майбутнього і з впевненістю кажу – ви переможете так само, як перемогли ми. 

Я мала бути мертвою, але я жива. І завтра збираюсь повести онуків на прогулянку. Колись і ви зможете, бо я бачу в вас ту ж стійкість, яку бачила у наших людях, я чую, як ви співаєте свій гімн, відштовхуючи ворожі танки голими руками. 

З часом ви, як і ми, будете співати нові пісні про свою мужність під час цієї тяжкої біди. І ви придумаєте власні гасла, які збережуть вам життя. Але поки що, я посилаю вам найдорожче що у мене є – це мій слоган, трохи змінений для вас. 

«Україна буде стояти, решта мине» Слава Україні!»

Аїда Черкез – кореспондент та письменниця",
72965,2025-04-24 08:21:28,-1001315043344,,,,"Україна не має достатньо ППО, аби перехоплювати таку кількість ракет і «шахедів», — міністр внутрішніх справ Ігор Клименко",72957
72964,2025-04-24 08:09:09,-1001315043344,,,,"🔞 Увага! Фото 18+, містить чутливі кадри!

Олена Зеленська відреагувала на атаку рф, опублікувавши фото жінки, яка опинилася під завалами власного дому

Ми всі ця людина. Ми всі в марганецькому автобусі. Ми в тролейбусі Сум. Ми на дитячому майданчику Кривого Рогу. В будинках і на вулицях Києва, Харківщини, Дніпровщини, Запоріжжя, Сумщини, Хмельниччини, Житомирщини, у своїх домівках.

Перша леді також відреагувала на мирні ініціативи, які пропонують Україні. Мовляв, чому про це хочуть говорити із закривавленими жертвами, а не тими, хто нас вбиває.

Фото: Костянтин і Влада Ліберови",
72963,2025-04-24 08:07:01,-1001315043344,,,,"❗️ В Києві під завалами будинку знайшли і врятували людину, заблокований 30-річний чоловік там знаходився понад 6 годин, сказав представник ДСНС Петров.",
