message_id,date,sender_id,first_name,last_name,username,message,reply_to
940,2025-05-04 05:35:20,-1002043111757,,,,"gamiing 

CK7sWnHjJohAb4uiX8EXhYrDVP9DeBKiUPe6GqMxpump

https://axiom.trade/meme/DpsEDC9Pjy6eUoTipQeN9xzhvssEQqj3nWsNvD6TveDD",
939,2025-05-03 12:08:58,-1002043111757,,,,"pope

orca team 
mcp now 100M

9u8PP725K2GUf4p5bhKebrzHTGgvHp6KDeQPf7jc1F1W

https://dexscreener.com/solana/7qz6hh5bkcfkmevwhzbmdehxzy33qtmraqxjg7q9kksn",
938,2025-04-28 14:08:33,-1002043111757,,,,"BABYBONK

Introducing #babybonk following his daddy to the moon 🌕
Gamble play

Cf1ZjYZi5UPbAyC7LhLkJYvebxrwam4AWVacymaBbonk

https://dexscreener.com/solana/e9rkorad4sbp8ar9jk3geesdd5g9hedh6da4dfmwhyqn",
937,2025-04-28 13:48:07,-1002043111757,,,,"BENK

Gamble play !!
Bonked too Hard. Became $Benk. Never recovered

4tJZkyAJWLA7uSHa8v5aHCSX7tTk5KxqyQccExmmbonk

https://dexscreener.com/solana/5w6FsJNxsG4fFBCkYZCNrEL7iMEynSzuNSYfrDmfdUo4

https://benk.space/",
933,2025-04-26 09:31:51,-1002043111757,,,,https://axiom.trade/meme/B69YrBtLWDCh3swRUhdQgqf4owkbXBj6L1HaxLuJUsBV,932
931,2025-04-26 02:30:30,-1002043111757,,,,"boink

https://letsbonk.fun/token/fEhMpvYVppAxa2uU1XP6zob2ohECNGmkUx9b8qtbonk",
930,2025-04-25 16:23:27,-1002043111757,,,,"reward token sol 

HKwp5Ls6TwUgoPPee3KjaGZaYodVkPfEn1j9b6FAE3EV

https://dexscreener.com/solana/c9dspuugxsttne5b9tiwdegenadzz58znvgf1uurxkab",
928,2025-04-08 03:54:54,-1002043111757,,,,woly x2,927
927,2025-04-08 03:12:31,-1002043111757,,,,"woly 

https://dexscreener.com/solana/FAF8kVLD8AWc6vBGyUYaAAXk1a9hciYLNoqpzH9Rzshf",
